"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"190",75,2,4,NA,12.7,NA,0.9,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"191",76,2,3,NA,8.5,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"192",77,2,3,NA,10,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"193",49,2,8,NA,14.5,NA,1.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"194",50,2,4,3,16.2,9.5,1.4,0.8,2,21,1.2,0,1,"2019 - 2020","Halle",1
"195",51,2,4,NA,9.6,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"196",52,2,2,NA,18.4,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"197",52,2,9,NA,17.3,NA,1.2,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"198",52,2,5,NA,19.2,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"199",55,2,4,NA,7,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"200",56,2,4,NA,13,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"201",59,2,3,NA,7.4,NA,0.1,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"202",59,2,13,NA,14.6,NA,0.5,NA,1,9.6,0.3,0,0,"2019 - 2020","Halle",1
"203",60,2,8,NA,12.3,NA,0.9,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"204",61,2,4,NA,14.3,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"205",62,2,3,NA,8,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"206",63,2,3,NA,8.5,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"207",64,2,13,NA,15.6,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"208",65,2,16,NA,16.6,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"209",72,2,4,NA,19.7,NA,0.9,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"210",74,2,11,NA,18,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"211",34,2,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"212",41,2,5,NA,11,NA,0.6,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"213",37,2,4,NA,16.5,NA,1,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"214",38,2,4,NA,20.1,NA,0.9,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"215",37,2,5,NA,13,NA,0.5,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"216",36,2,4,NA,12.7,NA,0.8,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"217",42,2,4,NA,8.1,NA,1,NA,2,10.5,0.6,1,0,"2019 - 2020","Halle",1
"218",46,2,4,NA,3.7,NA,0.3,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"219",42,2,3,NA,10.9,NA,0.9,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"220",42,2,4,NA,8.2,NA,0.9,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"221",42,2,4,NA,8.3,NA,0.2,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"222",38,2,5,NA,18.2,NA,1,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"223",36,2,3,NA,9.3,NA,0.6,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"224",36,2,5,NA,20.7,NA,0.7,NA,0,NA,NA,1,0,"2019 - 2020","Halle",0
"225",93,2,5,NA,11.1,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"226",116,2,3,NA,8.3,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
